datetime,ch_swt,ch_kw,ahu_cfm,ahu_sat,ahu_rat
12/7/23 17:15,44.02584839,173.3887787,19079.26563,54.89373398,71.31311035
12/7/23 17:30,43.01281738,140.1926575,18751.39844,55.90623856,71.31311035
12/7/23 17:45,43.8963623,154.2563629,19373.78125,57.41873932,71.31311035
12/7/23 18:00,43.41650391,146.1283112,18278.07617,57.41873932,71.31311035
12/7/23 18:15,43.38604736,132.624588,19001.37891,56.91248322,71.31311035
12/7/23 18:30,43.40127563,151.0072479,18255.93164,56.40623856,71.31311035
12/7/23 18:45,43.30224609,147.4580383,19567.66211,56.91248322,71.31311035
12/7/23 19:00,43.50027466,145.2382355,19595.20313,57.41873932,71.31311035
12/7/23 19:15,43.14230347,136.8518219,18951.64648,57.41873932,71.31311035
12/7/23 19:30,43.54598999,147.1192474,18417.6875,57.41873932,71.31311035
12/7/23 19:45,43.17276001,138.5929108,18018.0625,56.91873932,71.31311035
12/7/23 20:00,43.52313232,139.5097046,18512.60742,56.91873932,71.31311035
12/7/23 20:15,42.74624634,126.4772339,17980.60938,56.92499161,71.31311035
12/7/23 20:30,43.45458984,135.2993774,18643.23242,56.92499161,71.31311035
12/7/23 20:45,42.83001709,140.5392303,18425.00781,56.92499161,71.31311035
12/7/23 21:00,43.43936157,143.8591614,18744.20508,56.92499161,71.31311035
12/7/23 21:15,43.27178955,132.1825104,19318.0332,56.92499161,71.31311035
12/7/23 21:30,43.39364624,144.6789551,18070.36523,56.92499161,71.31311035
12/7/23 21:45,43.57644653,132.9689026,18336.98828,56.92499161,71.31311035
12/7/23 22:00,43.58407593,145.8559113,17950.58984,56.92499161,71.31311035
12/7/23 22:15,43.74401855,132.8519135,18381.05273,56.92499161,71.31311035
12/7/23 22:30,43.27941895,120.6218262,17935.56445,56.92499161,71.31311035
12/7/23 22:45,43.29464722,121.6899109,18844.63477,56.92499161,69.65936279
12/7/23 23:00,43.45458984,111.9670944,18858.9375,56.92499161,69.65936279
12/7/23 23:15,43.53076172,142.3836823,18527.16797,56.92499161,69.65936279
12/7/23 23:30,43.26416016,111.9262238,18292.81836,56.92499161,69.65936279
12/7/23 23:45,43.03567505,111.6329422,18077.82227,56.92499161,69.65936279
